Age,Gender,Books Read by Child,Parental Interest
11,1,12,90
9,1,14,67
9,1,8,49
9,1,7,81
8,2,9,28
10,2,18,56
10,1,18,76
11,1,5,78
11,2,10,23
11,2,15,52
8,1,12,83
9,2,13,69
8,1,18,100
11,2,7,24
8,2,10,34
11,1,5,37
11,1,6,80
12,1,7,73
8,1,8,40
8,1,12,65
11,1,17,69
10,2,8,51
8,1,14,59
10,2,13,44
8,1,18,30
11,1,20,67
10,2,8,23
8,1,7,48
10,2,11,59
12,2,5,61
9,1,12,93
9,2,14,78
11,1,12,46
12,1,7,50
12,1,7,85
9,2,7,69
10,1,20,93
8,1,10,81
8,2,7,52
8,2,6,93
11,1,16,92
11,1,9,97
8,2,18,23
8,1,15,56
10,1,15,43
9,2,18,79
11,2,14,38
11,2,13,70
9,2,18,70
7,3,22,78
