Form 1,Form 2
89,78
98,75
83,70
78,97
70,91
86,82
83,97
73,88
86,81
83,80
83,95
94,75
90,96
81,87
82,93
98,82
99,84
83,78
72,77
86,94
80,85
80,86
93,92
100,98
84,98
89,99
87,83
82,95
95,90
99,92
82,78
94,89
97,100
71,81
91,96
83,85
95,75
72,88
98,74
89,88
83,80
100,81
72,100
97,82
71,81
74,93
79,82
91,70
81,90
87,85
73,93
91,87
81,78
97,84
97,85
91,79
71,99
82,97
95,97
70,76
70,88
96,96
70,77
71,70
87,89
97,71
81,75
89,75
71,73
71,82
75,81
72,97
88,78
86,77
70,92
79,88
96,81
82,88
97,74
93,72
70,82
76,84
74,88
81,81
88,86
70,90
91,73
96,94
81,99
95,86
72,100
93,90
76,78
91,90
100,78
76,92
78,87
74,88
80,92
93,96
