Practice,Time
<15 hours,58.7
<15 hours,55.3
<15 hours,61.8
<15 hours,49.5
<15 hours,64.5
<15 hours,61
<15 hours,65.7
<15 hours,51.4
<15 hours,53.6
<15 hours,59
15-25 hours,64.4
15-25 hours,55.8
15-25 hours,58.7
15-25 hours,54.7
15-25 hours,52.7
15-25 hours,67.8
15-25 hours,61.6
15-25 hours,58.7
15-25 hours,54.6
15-25 hours,51.5
15-25 hours,54.7
15-25 hours,61.4
15-25 hours,56.9
>25 hours,68
>25 hours,65.9
>25 hours,54.7
>25 hours,53.6
>25 hours,58.7
>25 hours,58.7
>25 hours,65.7
>25 hours,66.5
>25 hours,56.7
>25 hours,55.4
>25 hours,51.5
>25 hours,54.8
>25 hours,57.2
