Shift,Stress
4 PM to Midnight,7
4 PM to Midnight,7
4 PM to Midnight,6
4 PM to Midnight,9
4 PM to Midnight,8
4 PM to Midnight,7
4 PM to Midnight,6
4 PM to Midnight,7
4 PM to Midnight,8
4 PM to Midnight,9
Midnight to 8 AM,5
Midnight to 8 AM,6
Midnight to 8 AM,3
Midnight to 8 AM,5
Midnight to 8 AM,4
Midnight to 8 AM,6
Midnight to 8 AM,5
Midnight to 8 AM,4
Midnight to 8 AM,5
Midnight to 8 AM,5
Midnight to 8 AM,6
Midnight to 8 AM,7
Midnight to 8 AM,6
8 AM to 4 PM,1
8 AM to 4 PM,3
8 AM to 4 PM,4
8 AM to 4 PM,3
8 AM to 4 PM,1
8 AM to 4 PM,1
8 AM to 4 PM,2
8 AM to 4 PM,6
8 AM to 4 PM,5
8 AM to 4 PM,4
8 AM to 4 PM,3
8 AM to 4 PM,4
8 AM to 4 PM,5
