Thickness,Pleasantness
Thick,1
Thick,3
Thick,2
Thick,3
Thick,4
Thick,4
Thick,5
Thick,4
Thick,3
Thick,4
Thick,3
Thick,2
Thick,2
Thick,3
Thick,3
Thick,4
Thick,5
Thick,4
Thick,3
Thick,2
Medium,3
Medium,4
Medium,3
Medium,2
Medium,3
Medium,4
Medium,4
Medium,4
Medium,3
Medium,3
Medium,3
Medium,4
Medium,5
Medium,4
Medium,3
Medium,4
Medium,3
Medium,3
Medium,2
Medium,3
Thin,1
Thin,3
Thin,2
Thin,1
Thin,1
Thin,1
Thin,2
Thin,2
Thin,3
Thin,2
Thin,1
Thin,1
Thin,2
Thin,2
Thin,3
Thin,3
Thin,2
Thin,1
Thin,2
Thin,1
