Gender,Training,Skill
Male,Strength Emphasis,10
Male,Speed Emphasis,5
Male,Strength Emphasis,9
Male,Speed Emphasis,3
Male,Strength Emphasis,9
Male,Speed Emphasis,2
Male,Speed Emphasis,5
Male,Strength Emphasis,0
Male,Strength Emphasis,0
Male,Speed Emphasis,4
Male,Speed Emphasis,3
Male,Speed Emphasis,2
Male,Speed Emphasis,2
Male,Speed Emphasis,3
Male,Strength Emphasis,10
Male,Speed Emphasis,4
Male,Strength Emphasis,3
Male,Speed Emphasis,3
Male,Strength Emphasis,0
Female,Speed Emphasis,9
Female,Strength Emphasis,3
Female,Strength Emphasis,2
Female,Strength Emphasis,3
Female,Speed Emphasis,9
Female,Strength Emphasis,1
Female,Strength Emphasis,1
Female,Speed Emphasis,9
Female,Speed Emphasis,8
Female,Speed Emphasis,7
Female,Speed Emphasis,9
