Sex,Vote
Male,Yes
Male,Yes
Male,Yes
Male,Yes
Male,Yes
Male,Yes
Male,Yes
Male,Yes
Male,Yes
Male,Yes
Male,Yes
Male,Yes
Male,Yes
Male,Yes
Male,Yes
Male,Yes
Male,Yes
Male,Yes
Male,Yes
Male,Yes
Male,Yes
Male,Yes
Male,Yes
Male,Yes
Male,Yes
Male,Yes
Male,Yes
Male,Yes
Male,Yes
Male,Yes
Male,Yes
Male,Yes
Male,Yes
Male,Yes
Male,Yes
Male,Yes
Male,Yes
Female,Yes
Female,Yes
Female,Yes
Female,Yes
Female,Yes
Female,Yes
Female,Yes
Female,Yes
Female,Yes
Female,Yes
Female,Yes
Female,Yes
Female,Yes
Female,Yes
Female,Yes
Female,Yes
Female,Yes
Female,Yes
Female,Yes
Female,Yes
Female,Yes
Female,Yes
Female,Yes
Female,Yes
Female,Yes
Female,Yes
Female,Yes
Female,Yes
Female,Yes
Female,Yes
Female,Yes
Female,Yes
Male,No
Male,No
Male,No
Male,No
Male,No
Male,No
Male,No
Male,No
Male,No
Male,No
Male,No
Male,No
Male,No
Male,No
Male,No
Male,No
Male,No
Male,No
Male,No
Male,No
Female,No
Female,No
Female,No
Female,No
Female,No
Female,No
Female,No
Female,No
Female,No
Female,No
Female,No
Female,No
Female,No
Female,No
Female,No
Female,No
Female,No
Female,No
Female,No
Female,No
Female,No
Female,No
Female,No
Female,No
Female,No
Female,No
Female,No
Female,No
Female,No
Female,No
Female,No
